feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.5030..L.histidine.degradation.III	site	Soweto	0.754978832417503	0.136563887801273	169	167	1.2232151796688e-07	5.1864323617957e-05
PWY.4984..urea.cycle	site	Soweto	0.878153948986694	0.165282412687123	169	150	3.40606196822619e-07	7.22085137263953e-05
PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II	site	Soweto	-0.308436162828902	0.0637429325517145	169	168	2.95381871068905e-06	0.000417473044444052
HISDEG.PWY..L.histidine.degradation.I	site	Soweto	0.37531880072925	0.0802095621722268	169	168	5.92196321726039e-06	0.000418485400686401
PWY.5941..glycogen.degradation.II..eukaryotic.	site	Soweto	0.968289456417672	0.205118364438184	169	147	4.95131760612851e-06	0.000418485400686401
PWY.6572..chondroitin.sulfate.degradation.I..bacterial.	site	Soweto	1.31485901250373	0.279394747536967	169	79	5.27317719830239e-06	0.000418485400686401
CITRULBIO.PWY..L.citrulline.biosynthesis	site	Soweto	0.664021492725882	0.147182548830459	169	161	1.20886609568872e-05	0.000640699030715021
PWY0.1479..tRNA.processing	site	Soweto	-0.647515488960338	0.143300747169746	169	161	1.17368076707133e-05	0.000640699030715021
PWY.5104..L.isoleucine.biosynthesis.IV	site	Soweto	-0.397728504028479	0.0910298834661716	169	168	2.18372803414891e-05	0.00102877854053238
PWY.5367..petroselinate.biosynthesis	site	Soweto	-1.57869504875103	0.367690992017842	169	103	2.97399623912029e-05	0.001260974405387
PWY.6113..superpathway.of.mycolate.biosynthesis	site	Soweto	-1.22196973370315	0.288069717088985	169	103	3.66331548239385e-05	0.00130901340462761
PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.	site	Soweto	-1.39141560833534	0.329783553754858	169	103	4.01348449532051e-05	0.00130901340462761
PWY.7234..inosine.5..phosphate.biosynthesis.III	site	Soweto	0.496075349812279	0.117182401810009	169	167	3.79156594631276e-05	0.00130901340462761
PWY.6859..all.trans.farnesol.biosynthesis	site	Soweto	0.774805850150332	0.193074539508295	169	148	9.03403189876498e-05	0.00267111353672096
TRPSYN.PWY..L.tryptophan.biosynthesis	site	Soweto	-0.220715260292725	0.0551604456319589	169	168	9.44969411575811e-05	0.00267111353672096
PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.	site	Soweto	-0.3268484906626	0.08354168848956	169	167	0.000132771343376611	0.00308012686934883
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.	site	Soweto	-1.38652551309861	0.353002754461188	169	87	0.000125226864640344	0.00308012686934883
PWY.7046..4.coumarate.degradation..anaerobic.	site	Soweto	-1.52799803265686	0.387984700748449	169	99	0.000120323983018021	0.00308012686934883
PWY0.1061..superpathway.of.L.alanine.biosynthesis	site	Soweto	-0.462491573976829	0.118521994289274	169	167	0.000138024553107612	0.00308012686934883
PWY0.1241..ADP.L.glycero..beta..D.manno.heptose.biosynthesis	site	Soweto	-0.707741502047064	0.182068370477193	169	160	0.000146037042668659	0.00309598530457557
THISYNARA.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.III..eukaryotes.	site	Soweto	0.282247158908911	0.0734115714545761	169	168	0.00017134123529283	0.00345946113162666
DAPLYSINESYN.PWY..L.lysine.biosynthesis.I	site	Soweto	-0.488906820594279	0.128415756852875	169	168	0.00019707386641517	0.00379815088000146
CALVIN.PWY..Calvin.Benson.Bassham.cycle	site	Soweto	-0.145581734606246	0.0385279587574792	169	168	0.000219130782106741	0.00403962833101122
PWY.5971..palmitate.biosynthesis.II..bacteria.and.plants.	site	Soweto	-0.911897500654277	0.247148202807485	169	103	0.000303544363772775	0.00536261709331903
PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.	site	Soweto	-0.608339733878707	0.166311580605173	169	155	0.000340644382692497	0.00543653941568211
PWY.5659..GDP.mannose.biosynthesis	site	Soweto	0.284569274685936	0.0778926674461878	169	168	0.000346194726942021	0.00543653941568211
PWY.7237..myo...chiro..and.scillo.inositol.degradation	site	Soweto	-0.614691138139448	0.167713356396172	169	119	0.00033178288211822	0.00543653941568211
PWY.5690..TCA.cycle.II..plants.and.fungi.	site	Soweto	-0.326199253029374	0.0895447422868657	169	167	0.000359523445287449	0.00544421217149566
PWY.5484..glycolysis.II..from.fructose.6.phosphate.	site	Soweto	0.20321686656086	0.0560012166270376	169	168	0.00037816540250922	0.00552903898841067
ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis	site	Soweto	0.590215708575167	0.167063708261319	169	167	0.000531703307155948	0.00747259468757826
PROPFERM.PWY..L.alanine.fermentation.to.propanoate.and.acetate	site	Soweto	-0.969884097971728	0.276466521447699	169	81	0.000579901834689157	0.00747259468757826
PWY.2941..L.lysine.biosynthesis.II	site	Soweto	0.444366071595615	0.126188032223146	169	163	0.000553465136071209	0.00747259468757826
PWY.6470..peptidoglycan.biosynthesis.V...beta..lactam.resistance.	site	Soweto	0.612897399114049	0.175175143322169	169	129	0.000599217498532219	0.00747259468757826
PWY.6471..peptidoglycan.biosynthesis.IV..Enterococcus.faecium.	site	Soweto	0.655885229088198	0.187402328833226	169	129	0.000596902283880163	0.00747259468757826
PWY.621..sucrose.degradation.III..sucrose.invertase.	site	Soweto	0.340917416666315	0.10293857664658	169	167	0.00113601525587866	0.0137620133855015
